match_id,date,season,competition,round,home_team,away_team,source_url
929785,2026-09-20 17:00:00,2026-2027,Runkosarja,,Nokian KrP,LASB,https://fliiga.com/ottelut/miehet/nokian-krp-lasb-20-9-2026/
929774,2026-09-20 18:00:00,2026-2027,Runkosarja,,OLS,O2-Jyväskylä,https://fliiga.com/ottelut/miehet/ols-o2-jyvaskyla-20-9-2026/
929763,2026-09-21 18:30:00,2026-2027,Runkosarja,,SPV,Jymy,https://fliiga.com/ottelut/miehet/spv-jymy-21-9-2026/
929752,2026-09-22 18:30:00,2026-2027,Runkosarja,,TPS,Hawks,https://fliiga.com/ottelut/miehet/tps-hawks-22-9-2026/
929730,2026-09-25 18:00:00,2026-2027,Runkosarja,,O2-Jyväskylä,Oilers,https://fliiga.com/ottelut/miehet/o2-jyvaskyla-oilers-25-9-2026/
929741,2026-09-25 18:30:00,2026-2027,Runkosarja,,Classic,TPS,https://fliiga.com/ottelut/miehet/classic-tps-25-9-2026/
929731,2026-09-25 19:00:00,2026-2027,Runkosarja,,EräViikingit,Hawks,https://fliiga.com/ottelut/miehet/eraviikingit-hawks-25-9-2026/
929729,2026-09-27 16:00:00,2026-2027,Runkosarja,,Jymy,EräViikingit,https://fliiga.com/ottelut/miehet/jymy-eraviikingit-27-9-2026/
929727,2026-09-28 18:30:00,2026-2027,Runkosarja,,TPS,Classic,https://fliiga.com/ottelut/miehet/tps-classic-28-9-2026/
929725,2026-09-30 18:30:00,2026-2027,Runkosarja,,Nokian KrP,Hawks,https://fliiga.com/ottelut/miehet/nokian-krp-hawks-30-9-2026/
929726,2026-09-30 18:30:00,2026-2027,Runkosarja,,EräViikingit,LASB,https://fliiga.com/ottelut/miehet/eraviikingit-lasb-30-9-2026/
929723,2026-10-02 19:00:00,2026-2027,Runkosarja,,Classic,OLS,https://fliiga.com/ottelut/miehet/classic-ols-2-10-2026/
929724,2026-10-02 19:00:00,2026-2027,Runkosarja,,Oilers,Nokian KrP,https://fliiga.com/ottelut/miehet/oilers-nokian-krp-2-10-2026/
929722,2026-10-03 16:00:00,2026-2027,Runkosarja,,Hawks,LASB,https://fliiga.com/ottelut/miehet/hawks-lasb-3-10-2026/
929721,2026-10-03 17:00:00,2026-2027,Runkosarja,,Indians,SPV,https://fliiga.com/ottelut/miehet/indians-spv-3-10-2026/
929719,2026-10-04 17:00:00,2026-2027,Runkosarja,,SPV,EräViikingit,https://fliiga.com/ottelut/miehet/spv-eraviikingit-4-10-2026/
929720,2026-10-04 17:00:00,2026-2027,Runkosarja,,Nokian KrP,O2-Jyväskylä,https://fliiga.com/ottelut/miehet/nokian-krp-o2-jyvaskyla-4-10-2026/
929718,2026-10-04 18:00:00,2026-2027,Runkosarja,,OLS,Oilers,https://fliiga.com/ottelut/miehet/ols-oilers-4-10-2026/
929716,2026-10-09 18:30:00,2026-2027,Runkosarja,,Indians,TPS,https://fliiga.com/ottelut/miehet/indians-tps-9-10-2026/
929715,2026-10-09 19:00:00,2026-2027,Runkosarja,,EräViikingit,Classic,https://fliiga.com/ottelut/miehet/eraviikingit-classic-9-10-2026/
929714,2026-10-10 16:00:00,2026-2027,Runkosarja,,Hawks,SPV,https://fliiga.com/ottelut/miehet/hawks-spv-10-10-2026/
929712,2026-10-10 17:00:00,2026-2027,Runkosarja,,O2-Jyväskylä,Nokian KrP,https://fliiga.com/ottelut/miehet/o2-jyvaskyla-nokian-krp-10-10-2026/
929713,2026-10-10 17:00:00,2026-2027,Runkosarja,,LASB,Jymy,https://fliiga.com/ottelut/miehet/lasb-jymy-10-10-2026/
929711,2026-10-10 18:00:00,2026-2027,Runkosarja,,Oilers,OLS,https://fliiga.com/ottelut/miehet/oilers-ols-10-10-2026/
929710,2026-10-12 18:00:00,2026-2027,Runkosarja,,Classic,EräViikingit,https://fliiga.com/ottelut/miehet/classic-eraviikingit-12-10-2026/
929709,2026-10-12 18:30:00,2026-2027,Runkosarja,,Jymy,SPV,https://fliiga.com/ottelut/miehet/jymy-spv-12-10-2026/
929708,2026-10-14 18:30:00,2026-2027,Runkosarja,,TPS,LASB,https://fliiga.com/ottelut/miehet/tps-lasb-14-10-2026/
929707,2026-10-22 18:30:00,2026-2027,Runkosarja,,Classic,Nokian KrP,https://fliiga.com/ottelut/miehet/classic-nokian-krp-22-10-2026/
929705,2026-10-23 18:30:00,2026-2027,Runkosarja,,TPS,Oilers,https://fliiga.com/ottelut/miehet/tps-oilers-23-10-2026/
929704,2026-10-24 14:30:00,2026-2027,Runkosarja,,O2-Jyväskylä,Indians,https://fliiga.com/ottelut/miehet/o2-jyvaskyla-indians-24-10-2026/
929703,2026-10-24 17:00:00,2026-2027,Runkosarja,,SPV,LASB,https://fliiga.com/ottelut/miehet/spv-lasb-24-10-2026/
929702,2026-10-24 18:00:00,2026-2027,Runkosarja,,OLS,Hawks,https://fliiga.com/ottelut/miehet/ols-hawks-24-10-2026/
