match_id,date,season,competition,round,home_team,away_team,source_url,home_goals,away_goals
466405,2020-09-20 17:00:00,2020-2021,,,Classic,Welhot,https://fliiga.com/ottelut/miehet/classic-welhot-20-9-2020/,7,5
466407,2020-09-20 17:00:00,2020-2021,,,Happee,Indians,https://fliiga.com/ottelut/miehet/happee-indians-20-9-2020/,4,8
466410,2020-09-20 17:00:00,2020-2021,,,Oilers,Jymy,https://fliiga.com/ottelut/miehet/oilers-jymy-20-9-2020/,6,3
466412,2020-09-20 17:00:00,2020-2021,,,OLS,Nokian KrP,https://fliiga.com/ottelut/miehet/ols-nokian-krp-20-9-2020/,4,6
466414,2020-09-20 17:00:00,2020-2021,,,SPV,LASB,https://fliiga.com/ottelut/miehet/spv-lasb-20-9-2020/,5,6
466417,2020-09-20 17:00:00,2020-2021,,,Steelers,TPS,https://fliiga.com/ottelut/miehet/steelers-tps-20-9-2020/,2,3
466419,2020-09-20 17:00:00,2020-2021,,,Tiikerit,EräViikingit,https://fliiga.com/ottelut/miehet/tiikerit-eraviikingit-20-9-2020/,0,3
466421,2020-09-25 18:30:00,2020-2021,,,Jymy,Steelers,https://fliiga.com/ottelut/miehet/jymy-steelers-25-9-2020/,2,5
466422,2020-09-25 18:30:00,2020-2021,,,Nokian KrP,Welhot,https://fliiga.com/ottelut/miehet/nokian-krp-welhot-25-9-2020/,6,3
466423,2020-09-25 18:30:00,2020-2021,,,Oilers,Indians,https://fliiga.com/ottelut/miehet/oilers-indians-25-9-2020/,6,1
466424,2020-09-25 18:30:00,2020-2021,,,TPS,Classic,https://fliiga.com/ottelut/miehet/tps-classic-25-9-2020/,2,10
466426,2020-09-26 17:00:00,2020-2021,,,EräViikingit,Happee,https://fliiga.com/ottelut/miehet/eraviikingit-happee-26-9-2020/,2,9
466428,2020-09-26 17:00:00,2020-2021,,,Steelers,SPV,https://fliiga.com/ottelut/miehet/steelers-spv-26-9-2020/,4,5
466429,2020-09-26 17:00:00,2020-2021,,,Tiikerit,LASB,https://fliiga.com/ottelut/miehet/tiikerit-lasb-26-9-2020/,5,7
466432,2020-09-27 17:00:00,2020-2021,,,SPV,TPS,https://fliiga.com/ottelut/miehet/spv-tps-27-9-2020/,8,11
466434,2020-09-27 18:00:00,2020-2021,,,OLS,Classic,https://fliiga.com/ottelut/miehet/ols-classic-27-9-2020/,7,11
466435,2020-09-30 18:30:00,2020-2021,,,Nokian KrP,EräViikingit,https://fliiga.com/ottelut/miehet/nokian-krp-eraviikingit-30-9-2020/,8,4
466438,2020-09-30 18:30:00,2020-2021,,,Welhot,Happee,https://fliiga.com/ottelut/miehet/welhot-happee-30-9-2020/,3,7
466440,2020-10-01 18:30:00,2020-2021,,,Classic,Jymy,https://fliiga.com/ottelut/miehet/classic-jymy-1-10-2020/,9,4
466442,2020-10-02 18:30:00,2020-2021,,,Indians,Steelers,https://fliiga.com/ottelut/miehet/indians-steelers-2-10-2020/,10,9
466444,2020-10-03 17:00:00,2020-2021,,,Oilers,OLS,https://fliiga.com/ottelut/miehet/oilers-ols-3-10-2020/,8,4
466446,2020-10-03 18:00:00,2020-2021,,,Welhot,SPV,https://fliiga.com/ottelut/miehet/welhot-spv-3-10-2020/,0,11
466448,2020-10-03 18:30:00,2020-2021,,,Happee,LASB,https://fliiga.com/ottelut/miehet/happee-lasb-3-10-2020/,6,5
466450,2020-10-03 18:30:00,2020-2021,,,TPS,Tiikerit,https://fliiga.com/ottelut/miehet/tps-tiikerit-3-10-2020/,10,2
466451,2020-10-04 17:00:00,2020-2021,,,LASB,Nokian KrP,https://fliiga.com/ottelut/miehet/lasb-nokian-krp-4-10-2020/,7,4
466454,2020-10-04 17:00:00,2020-2021,,,Steelers,OLS,https://fliiga.com/ottelut/miehet/steelers-ols-4-10-2020/,7,14
466456,2020-10-04 17:00:00,2020-2021,,,Tiikerit,Jymy,https://fliiga.com/ottelut/miehet/tiikerit-jymy-4-10-2020/,5,4
466458,2020-10-06 18:30:00,2020-2021,,,EräViikingit,Oilers,https://fliiga.com/ottelut/miehet/eraviikingit-oilers-6-10-2020/,5,6
466460,2020-10-07 18:30:00,2020-2021,,,Classic,Indians,https://fliiga.com/ottelut/miehet/classic-indians-7-10-2020/,6,2
466462,2020-10-07 18:30:00,2020-2021,,,TPS,Nokian KrP,https://fliiga.com/ottelut/miehet/tps-nokian-krp-7-10-2020/,5,2
466464,2020-10-08 18:30:00,2020-2021,,,Steelers,EräViikingit,https://fliiga.com/ottelut/miehet/steelers-eraviikingit-8-10-2020/,3,4
466468,2020-10-09 18:30:00,2020-2021,,,Indians,SPV,https://fliiga.com/ottelut/miehet/indians-spv-9-10-2020/,4,3
466470,2020-10-09 18:30:00,2020-2021,,,Oilers,LASB,https://fliiga.com/ottelut/miehet/oilers-lasb-9-10-2020/,4,3
466475,2020-10-10 15:00:00,2020-2021,,,Welhot,Oilers,https://fliiga.com/ottelut/miehet/welhot-oilers-10-10-2020/,2,9
466477,2020-10-10 18:30:00,2020-2021,,,Happee,TPS,https://fliiga.com/ottelut/miehet/happee-tps-10-10-2020/,3,7
466479,2020-10-11 16:00:00,2020-2021,,,LASB,Steelers,https://fliiga.com/ottelut/miehet/lasb-steelers-11-10-2020/,5,2
466644,2020-10-11 18:00:00,2020-2021,,,OLS,SPV,https://fliiga.com/ottelut/miehet/ols-spv-11-10-2020/,2,7
466487,2020-10-13 18:30:00,2020-2021,,,EräViikingit,Classic,https://fliiga.com/ottelut/miehet/eraviikingit-classic-13-10-2020/,7,10
466489,2020-10-23 18:30:00,2020-2021,,,LASB,EräViikingit,https://fliiga.com/ottelut/miehet/lasb-eraviikingit-23-10-2020/,5,3
466492,2020-10-23 18:30:00,2020-2021,,,Nokian KrP,Happee,https://fliiga.com/ottelut/miehet/nokian-krp-happee-23-10-2020/,9,3
466496,2020-10-24 17:00:00,2020-2021,,,Jymy,OLS,https://fliiga.com/ottelut/miehet/jymy-ols-24-10-2020/,11,7
466498,2020-10-24 17:00:00,2020-2021,,,Steelers,Welhot,https://fliiga.com/ottelut/miehet/steelers-welhot-24-10-2020/,10,2
466500,2020-10-24 17:00:00,2020-2021,,,Tiikerit,SPV,https://fliiga.com/ottelut/miehet/tiikerit-spv-24-10-2020/,4,11
466501,2020-10-25 17:00:00,2020-2021,,,Happee,Tiikerit,https://fliiga.com/ottelut/miehet/happee-tiikerit-25-10-2020/,10,5
466504,2020-10-25 18:00:00,2020-2021,,,Classic,Steelers,https://fliiga.com/ottelut/miehet/classic-steelers-25-10-2020/,17,3
466505,2020-10-25 18:00:00,2020-2021,,,OLS,Indians,https://fliiga.com/ottelut/miehet/ols-indians-25-10-2020/,4,8
466511,2020-10-26 18:30:00,2020-2021,,,Nokian KrP,Oilers,https://fliiga.com/ottelut/miehet/nokian-krp-oilers-26-10-2020/,5,6
466514,2020-10-27 18:30:00,2020-2021,,,Welhot,LASB,https://fliiga.com/ottelut/miehet/welhot-lasb-27-10-2020/,3,6
466516,2020-10-28 18:30:00,2020-2021,,,SPV,Classic,https://fliiga.com/ottelut/miehet/spv-classic-28-10-2020/,3,7
466518,2020-10-29 18:30:00,2020-2021,,,Tiikerit,Nokian KrP,https://fliiga.com/ottelut/miehet/tiikerit-nokian-krp-29-10-2020/,4,11
466520,2020-10-30 18:30:00,2020-2021,,,Indians,EräViikingit,https://fliiga.com/ottelut/miehet/indians-eraviikingit-30-10-2020/,6,5
466521,2020-10-30 18:30:00,2020-2021,,,Oilers,Steelers,https://fliiga.com/ottelut/miehet/oilers-steelers-30-10-2020/,12,2
466524,2020-10-31 16:00:00,2020-2021,,,LASB,Happee,https://fliiga.com/ottelut/miehet/lasb-happee-31-10-2020/,5,4
466526,2020-10-31 17:00:00,2020-2021,,,EräViikingit,OLS,https://fliiga.com/ottelut/miehet/eraviikingit-ols-31-10-2020/,5,6
466528,2020-10-31 17:00:00,2020-2021,,,Jymy,Indians,https://fliiga.com/ottelut/miehet/jymy-indians-31-10-2020/,3,9
466529,2020-10-31 18:00:00,2020-2021,,,Welhot,TPS,https://fliiga.com/ottelut/miehet/welhot-tps-31-10-2020/,2,13
466531,2020-11-01 18:30:00,2020-2021,,,TPS,OLS,https://fliiga.com/ottelut/miehet/tps-ols-1-11-2020/,8,4
466533,2020-11-04 18:30:00,2020-2021,,,SPV,Happee,https://fliiga.com/ottelut/miehet/spv-happee-4-11-2020/,4,5
466534,2020-11-04 18:30:00,2020-2021,,,Steelers,Nokian KrP,https://fliiga.com/ottelut/miehet/steelers-nokian-krp-4-11-2020/,5,9
466537,2020-11-06 18:30:00,2020-2021,,,Classic,Tiikerit,https://fliiga.com/ottelut/miehet/classic-tiikerit-6-11-2020/,13,2
466539,2020-11-06 18:30:00,2020-2021,,,Indians,LASB,https://fliiga.com/ottelut/miehet/indians-lasb-6-11-2020/,4,2
466541,2020-11-07 15:00:00,2020-2021,,,OLS,Welhot,https://fliiga.com/ottelut/miehet/ols-welhot-7-11-2020/,10,3
466543,2020-11-07 17:00:00,2020-2021,,,Oilers,Happee,https://fliiga.com/ottelut/miehet/oilers-happee-7-11-2020/,6,10
466546,2020-11-09 18:30:00,2020-2021,,,Nokian KrP,SPV,https://fliiga.com/ottelut/miehet/nokian-krp-spv-9-11-2020/,9,5
466545,2020-11-11 18:30:00,2020-2021,,,Welhot,Jymy,https://fliiga.com/ottelut/miehet/welhot-jymy-11-11-2020/,6,4
466548,2020-11-11 18:30:00,2020-2021,,,EräViikingit,Nokian KrP,https://fliiga.com/ottelut/miehet/eraviikingit-nokian-krp-11-11-2020/,2,6
466550,2020-11-11 18:30:00,2020-2021,,,LASB,Classic,https://fliiga.com/ottelut/miehet/lasb-classic-11-11-2020/,4,6
466552,2020-11-13 18:30:00,2020-2021,,,LASB,TPS,https://fliiga.com/ottelut/miehet/lasb-tps-13-11-2020/,0,6
466554,2020-11-14 15:00:00,2020-2021,,,OLS,Happee,https://fliiga.com/ottelut/miehet/ols-happee-14-11-2020/,6,7
466556,2020-11-14 17:00:00,2020-2021,,,SPV,EräViikingit,https://fliiga.com/ottelut/miehet/spv-eraviikingit-14-11-2020/,4,3
466558,2020-11-14 17:00:00,2020-2021,,,Tiikerit,Steelers,https://fliiga.com/ottelut/miehet/tiikerit-steelers-14-11-2020/,3,5
466561,2020-11-14 18:00:00,2020-2021,,,Welhot,Indians,https://fliiga.com/ottelut/miehet/welhot-indians-14-11-2020/,3,11
466562,2020-11-15 17:00:00,2020-2021,,,SPV,Jymy,https://fliiga.com/ottelut/miehet/spv-jymy-15-11-2020/,14,5
466566,2020-11-15 18:00:00,2020-2021,,,OLS,LASB,https://fliiga.com/ottelut/miehet/ols-lasb-15-11-2020/,7,9
466568,2020-11-15 18:00:00,2020-2021,,,Welhot,EräViikingit,https://fliiga.com/ottelut/miehet/welhot-eraviikingit-15-11-2020/,0,12
466572,2020-11-18 18:30:00,2020-2021,,,Nokian KrP,Jymy,https://fliiga.com/ottelut/miehet/nokian-krp-jymy-18-11-2020/,11,2
466577,2020-11-20 18:30:00,2020-2021,,,Indians,Tiikerit,https://fliiga.com/ottelut/miehet/indians-tiikerit-20-11-2020/,5,6
466579,2020-11-20 18:30:00,2020-2021,,,TPS,EräViikingit,https://fliiga.com/ottelut/miehet/tps-eraviikingit-20-11-2020/,9,4
466586,2020-11-20 18:30:00,2020-2021,,,Happee,Steelers,https://fliiga.com/ottelut/miehet/happee-steelers-20-11-2020/,3,5
466581,2020-11-21 16:00:00,2020-2021,,,Classic,Nokian KrP,https://fliiga.com/ottelut/miehet/classic-nokian-krp-21-11-2020/,5,4
