date,home_team,away_team,home_goals,away_goals,home_odds,draw_odds,away_odds
2025-01-01,Alpha,Beta,8,5,1.75,6.50,3.10
2025-01-03,Gamma,Delta,4,6,2.05,6.20,2.45
2025-01-05,Alpha,Gamma,7,4,1.62,7.00,3.55
2025-01-07,Beta,Delta,5,7,2.25,6.10,2.18
2025-01-09,Beta,Alpha,4,6,2.90,6.50,1.80
2025-01-11,Delta,Gamma,8,5,1.95,6.25,2.60
2025-01-13,Gamma,Alpha,5,9,3.40,6.80,1.66
2025-01-15,Delta,Beta,6,4,2.05,6.10,2.35
2025-01-17,Alpha,Delta,7,6,1.80,6.40,2.90
2025-01-19,Beta,Gamma,6,5,2.10,6.20,2.35
2025-01-21,Delta,Alpha,5,8,2.75,6.30,1.85
2025-01-23,Gamma,Beta,5,7,2.30,6.10,2.15
2025-01-25,Alpha,Beta,10,5,1.70,6.80,3.20
2025-01-27,Gamma,Delta,6,7,2.25,6.00,2.20
2025-01-29,Alpha,Gamma,8,6,1.65,6.60,3.45
2025-01-31,Beta,Delta,4,7,2.45,6.20,2.02
2025-02-02,Beta,Alpha,5,8,3.05,6.40,1.75
2025-02-04,Delta,Gamma,7,5,1.90,6.30,2.65
2025-02-06,Gamma,Alpha,4,7,3.60,6.50,1.62
2025-02-08,Delta,Beta,8,6,1.98,6.20,2.45

